0,1,2,3
285,21002543,3,Residential only
286,21002543,4,Attached
287,21002543,5,1968
288,21002543,1,"2,570 sqft"
289,21002543,13,"Driveway (1), Garage (2)"
290,21002543,7,Residential (3)
291,21002543,8,"1 x 3 ½,  1 x 5 ½,  1 x 6 ½"
292,21002543,9,"6 Rooms, 3 Bedrooms, 1 Bath/powder room"
293,21002543,10,"$30,660"
294,21002543,11,Basement 6 feet or +
295,19701538,3,Residential only
296,19701538,4,Detached
297,19701538,5,Unknown age
298,19701538,1,"6,500 sqft"
299,19701538,13,Driveway (3)
300,19701538,7,Residential (2)
301,19701538,8,"1 x 4 ½,  1 x 5 ½"
302,19701538,9,"5 Rooms, 2 Bedrooms, 1 Bath/powder room"
303,19701538,10,"$12,600"
304,17094624,1,"205,793 sqft"
305,17094624,2,Residential
306,13507410,1,"347,173 sqft"
307,13507410,2,"Residential, Resort"
308,22928734,1,"88,404 sqft"
309,22928734,2,Residential
310,24858704,1,"54,670 sqft"
311,24858704,2,Residential
312,21662015,3,Residential only
313,21662015,4,Detached
314,21662015,5,1920
315,21662015,1,"6,500 sqft"
316,21662015,13,"Driveway (6), Garage (1)"
317,21662015,7,Residential (3)
318,21662015,8,3 x 5 ½
319,21662015,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
320,21662015,10,"$20,580"
321,22871718,3,Residential only
322,22871718,4,Detached
323,22871718,5,1967
324,22871718,1,"10,776 sqft"
325,22871718,13,Driveway (6)
326,22871718,7,Residential (8)
327,22871718,8,"1 x 2 ½,  4 x 3 ½,  3 x 5 ½"
328,22871718,9,"3 Rooms, 1 Bedroom, 1 Bath/powder room"
329,22871718,10,"$66,240"
330,22871718,11,Basement 6 feet or +
331,24802919,1,"30,918 sqft"
332,24802919,2,Residential
333,16895083,3,Commercial only
334,16895083,5,2005
335,16895083,14,"4,894 sqft"
336,16895083,1,"50,015 sqft"
337,16895083,7,Commercial (1)
338,16895083,15,Restaurant
339,12163032,1,"38,963 sqft"
340,12163032,2,Residential
341,24473799,3,Residential only
342,24473799,4,Detached
343,24473799,5,1911
344,24473799,1,"11,787 sqft"
345,24473799,13,"Driveway (6), Garage (2)"
346,24473799,6,Fireplace - Other
347,24473799,7,Residential (2)
348,24473799,8,"1 x 6 ½,  1 x Other"
349,24473799,9,"11 Rooms, 4 Bedrooms, 4 Bath/powder rooms"
350,24473799,10,"$84,000"
351,24473799,11,Basement 6 feet or +
352,11060293,3,Residential only
353,11060293,4,Detached
354,11060293,5,1988
355,11060293,1,"9,118 sqft"
356,11060293,13,Driveway (8)
357,11060293,7,Residential (4)
358,11060293,8,"2 x 4 ½,  2 x 5 ½"
359,11060293,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
360,11060293,10,"$30,120"
361,18857310,3,Residential only
362,18857310,4,Detached
363,18857310,5,1958
364,18857310,12,939 sqft
365,18857310,1,"8,871 sqft"
366,18857310,13,Driveway (4)
367,18857310,7,Residential (2)
368,18857310,8,2 x 4 ½
369,18857310,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
370,18857310,10,"$10,200"
371,18857310,11,Basement 6 feet or +
372,17922627,1,"59,309 sqft"
373,17922627,2,Residential
374,20518295,3,Residential only
375,20518295,4,Detached
376,20518295,5,"To be built, New"
377,20518295,13,Driveway (4)
378,20518295,7,Residential (3)
379,20518295,8,3 x 5 ½
380,20518295,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
381,20518295,10,"$43,800"
382,13225663,1,"11,370 sqft"
383,13225663,2,Residential
384,20381620,3,Residential and commercial
385,20381620,4,Detached
386,20381620,5,1912
387,20381620,14,857 sqft
388,20381620,12,857 sqft
389,20381620,1,"5,215 sqft"
390,20381620,13,Driveway (5)
391,20381620,7,"Residential (1), Commercial (1)"
392,20381620,18,1 x 3 ½
393,20381620,9,"3 Rooms, 1 Bedroom, 1 Bath/powder room"
394,20381620,10,"$10,560"
395,9399463,3,Residential only
396,9399463,4,Attached
397,9399463,5,1945
398,9399463,1,"2,125 sqft"
399,9399463,13,"Driveway (2), Garage (1)"
400,9399463,7,Residential (2)
401,9399463,8,"1 x 5 ½, 1 x 10 ½"
402,9399463,9,"10 Rooms, 5 Bedrooms, 2 Bath/powder rooms"
403,9399463,10,"$35,400"
404,9399463,11,Basement 6 feet or +
405,13519102,1,"27,616 sqft"
406,13519102,2,Residential
407,28315160,1,"6,230 sqft"
408,28315160,2,Residential
409,11254152,5,1908
410,11254152,1,"2,117,016 sqft"
411,11254152,13,"Driveway (8), Garage (1)"
412,11254152,6,Wood stove
413,11254152,11,Waterfront
414,9882514,1,"3,702,600 sqft"
415,9882514,2,Resort
416,20980897,1,"113,797 sqft"
417,20980897,2,Residential
418,26388363,3,Residential only
419,26388363,4,Detached
420,26388363,5,1930
421,26388363,12,967 sqft
422,26388363,1,"6,760 sqft"
423,26388363,13,Driveway (4)
424,26388363,7,Residential (2)
425,26388363,8,2 x 5 ½
426,26388363,9,"5 Rooms, 2 Bedrooms, 1 Bath/powder room"
427,26388363,10,"$14,400"
428,23473629,3,Residential only
429,23473629,4,Semi-detached
430,23473629,5,1978
431,23473629,1,"2,783 sqft"
432,23473629,13,"Driveway (1), Garage (2)"
433,23473629,7,Residential (3)
434,23473629,8,"1 x 3 ½,  2 x 4 ½"
435,23473629,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
436,23473629,10,"$23,820"
437,23473629,11,Basement 6 feet or +
438,27856555,1,"464,795 sqft"
439,27856555,2,Residential
440,15264347,3,Residential only
441,15264347,4,Detached
442,15264347,5,2007
443,15264347,1,"6,960 sqft"
444,15264347,13,Driveway (4)
445,15264347,7,Residential (2)
446,15264347,8,2 x 4 ½
447,15264347,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
448,15264347,10,"$16,500"
449,17102864,3,Residential only
450,17102864,4,Semi-detached
451,17102864,5,1957
452,17102864,1,"3,503 sqft"
453,17102864,7,Residential (3)
454,17102864,8,"1 x 2 ½,  2 x 5 ½"
455,17102864,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
456,17102864,10,"$33,960"
457,17102864,11,Basement 6 feet or +
458,15980328,3,Residential only
459,15980328,4,Semi-detached
460,15980328,5,2012
461,15980328,1,"2,939 sqft"
462,15980328,13,Driveway (4)
463,15980328,7,Residential (2)
464,15980328,8,"1 x 6 ½,  1 x 8 ½"
465,15980328,9,"8 Rooms, 3 Bedrooms, 2 Bath/powder rooms"
466,15980328,10,"$22,200"
467,15980328,11,Basement 6 feet or +
468,24196316,5,1991
469,24196316,1,"3,473,474 sqft"
470,24196316,13,"Driveway (6), Garage (1)"
471,24196316,6,Wood stove
472,23337728,1,"39,999 sqft"
473,23337728,2,Residential
474,24781687,1,"56,470 sqft"
475,24781687,2,"Residential, Resort"
476,22178220,3,Residential only
477,22178220,4,Attached
478,22178220,5,1961
479,22178220,1,"1,876 sqft"
480,22178220,13,"Driveway (1), Garage (1)"
481,22178220,7,Residential (3)
482,22178220,8,"1 x 4 ½,  2 x 5 ½"
483,22178220,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
484,22178220,10,"$26,700"
485,28765223,1,"4,479,271 sqft"
486,28765223,2,Residential
487,11754428,3,Residential only
488,11754428,4,Semi-detached
489,11754428,5,1971
490,11754428,1,"3,777 sqft"
491,11754428,13,"Driveway (1), Garage (1)"
492,11754428,7,Residential (3)
493,11754428,8,"1 x 3 ½,  2 x 5 ½"
494,11754428,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
495,11754428,10,"$29,160"
496,11754428,11,Basement 6 feet or +
497,27435542,1,"53,292 sqft"
498,27435542,2,Residential
499,19761454,1,"55,316 sqft"
500,19761454,2,Residential
501,24527784,1,"4,356,000 sqft"
502,24527784,2,Residential
503,13959091,3,Residential only
504,13959091,4,Detached
505,13959091,5,Unknown age
506,13959091,12,"1,330 sqft"
507,13959091,1,"11,250 sqft"
508,13959091,13,Driveway (4)
509,13959091,7,Residential (2)
510,13959091,8,"1 x 7 ½,  1 x 8 ½"
511,13959091,9,"8 Rooms, 2 Bedrooms, 1 Bath/powder room"
512,13959091,10,"$9,000"
513,25073113,1,"44,221 sqft"
514,25073113,2,Residential
515,15024180,1,"88,119 sqft"
516,15024180,2,Residential
517,15924203,3,Residential and commercial
518,15924203,4,Detached
519,15924203,5,1947
520,15924203,14,1 sqft
521,15924203,1,"2,395 sqft"
522,15924203,13,Driveway (4)
523,15924203,7,"Residential (1), Commercial (1)"
524,15924203,18,1 x 7 ½
525,15924203,9,"7 Rooms, 3 Bedrooms, 1 Bath/powder room"
526,15924203,10,"$31,176"
527,17434262,3,Commercial and residential
528,17434262,5,1987
529,17434262,14,"84,723 sqft"
530,17434262,12,"29,590 sqft"
531,17434262,1,"84,723 sqft"
532,17434262,7,Commercial (1)
533,17434262,15,Hotel
534,26077842,3,Residential only
535,26077842,4,Detached
536,26077842,5,1925
537,26077842,1,"5,000 sqft"
538,26077842,13,"Driveway (3), Garage (1)"
539,26077842,7,Residential (3)
540,26077842,8,"1 x 3 ½,  1 x 4 ½,  1 x 5 ½"
541,26077842,9,"5 Rooms, 3 Bedrooms, 2 Bath/powder rooms"
542,26077842,10,"$16,500"
543,26077842,11,Basement 6 feet or +
544,15279764,1,"80,736 sqft"
545,15279764,2,Residential
546,28813871,3,Commercial and office space
547,28813871,5,1975
548,28813871,14,"From 3,055 sqft to 35,936 sqft"
549,28813871,12,"21,287 sqft"
550,28813871,1,"149,485 sqft"
551,28813871,7,Commercial (3)
552,28813871,15,Other
553,17003246,1,"45,364 sqft"
554,17003246,2,Residential
555,28912800,1,"90,868 sqft"
556,28912800,2,Residential
557,14244443,15,Restaurant
558,17092190,5,2010
559,17092190,1,"210,139 sqft"
560,17092190,13,"Carport (1), Garage (2)"
561,17092190,6,"Wood fireplace, Wood stove"
562,20450953,3,Commercial and office space
563,20450953,5,2014
564,20450953,14,"1,450 sqft"
565,20450953,12,"1,250 sqft"
566,20450953,1,"16,000 sqft"
567,20450953,7,Commercial (1)
568,20724532,1,"2,303,660 sqft"
569,20724532,2,"Commercial, Residential"
570,10304292,1,"78,064 sqft"
571,10304292,2,Residential
572,28197533,1,"2,821,754 sqft"
573,28197533,2,Residential
574,13852633,3,Residential only
575,13852633,4,Detached
576,13852633,5,1900
577,13852633,1,"4,174 sqft"
578,13852633,13,"Driveway (3), Garage (1)"
579,13852633,6,Wood stove
580,13852633,7,Residential (2)
581,13852633,8,"1 x 4 ½,  1 x 5 ½"
582,13852633,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
583,13852633,10,"$14,400"
584,13852633,11,Basement 6 feet or +
585,14188501,3,Residential and commercial
586,14188501,4,Detached
587,14188501,5,1950
588,14188501,12,"3,200 sqft"
589,14188501,1,"33,326 sqft"
590,14188501,13,Driveway (30)
591,14188501,7,Residential (2)
592,14188501,8,2 x 5 ½
593,14188501,9,"5 Rooms, 2 Bedrooms, 1 Bath/powder room"
594,14188501,10,"$15,600"
595,18930015,1,"197,272 sqft"
596,18930015,2,Resort
597,21629262,3,Residential and commercial
598,21629262,4,Detached
599,21629262,5,Unknown age
600,21629262,1,"11,108 sqft"
601,21629262,7,Residential (3)
602,21629262,8,"1 x 1 ½,  2 x 5 ½"
603,21629262,9,"1 Room, 1 Bath/powder room"
604,21629262,10,"$33,960"
605,10500704,1,"7,463 sqft"
606,10500704,2,Residential
607,19642575,1,"108,464 sqft"
608,19642575,2,Residential
609,22657151,5,1963
610,22657151,1,"1,680,128 sqft"
611,22657151,11,Basement 6 feet or +
612,18527153,3,Residential only
613,18527153,4,Semi-detached
614,18527153,5,1975
615,18527153,1,"11,037 sqft"
616,18527153,13,Driveway (6)
617,18527153,7,Residential (4)
618,18527153,8,"2 x 3 ½,  2 x 5 ½"
619,18527153,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
620,18527153,10,"$32,940"
621,23953150,3,Residential and commercial
622,23953150,4,Detached
623,23953150,5,1935
624,23953150,1,"6,571 sqft"
625,23953150,13,Garage (4)
626,23953150,6,Gas fireplace
627,23953150,7,Residential (3)
628,23953150,8,"2 x 4 ½,  1 x 9 ½"
629,23953150,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
630,23953150,10,"$26,760"
631,23953150,11,Basement 6 feet or +
632,19280487,1,"148,624 sqft"
633,19280487,2,Residential
634,25904041,1,"12,627 sqft"
635,25904041,2,Residential
636,21426042,1,"111,837 sqft"
637,21426042,2,Residential
638,21045246,3,Residential only
639,21045246,4,Detached
640,21045246,5,1952
641,21045246,12,751 sqft
642,21045246,1,"7,500 sqft"
643,21045246,13,Driveway (6)
644,21045246,7,Residential (2)
645,21045246,8,2 x 4 ½
646,21045246,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
647,21045246,10,"$12,000"
648,20316284,1,"75,485 sqft"
649,20316284,2,Residential
650,10846714,1,"56,598 sqft"
651,10846714,2,Residential
652,25366574,1,"82,749 sqft"
653,25366574,2,Residential
654,25874790,3,Residential only
655,25874790,4,Detached
656,25874790,5,1935
657,25874790,1,"4,381 sqft"
658,25874790,13,Driveway (4)
659,25874790,7,Residential (3)
660,25874790,8,"2 x 3 ½,  1 x 5 ½"
661,25874790,9,"3 Rooms, 1 Bedroom, 1 Bath/powder room"
662,25874790,10,"$14,520"
663,25874790,11,Basement 6 feet or +
664,15552976,1,"11,440 sqft"
665,15552976,2,Residential
666,13513928,3,Residential only
667,13513928,4,Semi-detached
668,13513928,5,1992
669,13513928,1,"5,155 sqft"
670,13513928,13,Driveway (4)
671,13513928,7,Residential (2)
672,13513928,8,2 x 4 ½
673,13513928,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
674,13513928,10,"$21,720"
675,13513928,11,Basement 6 feet or +
676,17678105,5,Unknown age
677,17678105,1,"161,458 sqft"
678,17678105,13,"Driveway (20), Garage (4)"
679,17678105,11,Basement 6 feet or +
680,11710626,15,"Bar, Other"
681,22263221,1,"1,732 sqft"
682,22263221,2,"Agricultural, Other"
683,28917842,15,Fast food
684,19682347,3,Industrial and offices
685,19682347,5,1950
686,19682347,14,"5,600 sqft"
687,19682347,7,Industrial (1)
688,24341635,1,"51,667 sqft"
689,24341635,2,Residential
690,24508337,1,"144,101 sqft"
691,24508337,2,Residential
692,21338277,3,Residential only
693,21338277,4,Detached
694,21338277,5,1987
695,21338277,1,"5,761 sqft"
696,21338277,13,"Driveway (4), Garage (1)"
697,21338277,6,Gas fireplace
698,21338277,7,Residential (4)
699,21338277,8,"3 x 4 ½,  1 x 5 ½"
700,21338277,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
701,21338277,10,"$39,540"
702,21338277,11,Basement 6 feet or +
703,12165661,3,Commercial only
704,12165661,5,1965
705,12165661,14,"1,256 sqft"
706,12165661,12,"1,256 sqft"
707,12165661,1,"4,673 sqft"
708,12165661,7,Commercial (1)
709,21822857,1,"19,690 sqft"
710,21822857,2,Residential
711,24394014,5,1984
712,24394014,1,"5,514,722 sqft"
713,24394014,13,Garage (2)
714,24394014,16,"Heated, Inground"
715,24394014,6,Wood fireplace
716,25054004,1,"7,979 sqft"
717,25054004,2,Other
718,23868129,1,"92,226 sqft"
719,23868129,2,Residential
720,10702207,3,Residential and commercial
721,10702207,4,Detached
722,10702207,5,1993
723,10702207,1,"5,444 sqft"
724,10702207,7,"Residential (18), Commercial (1)"
725,10702207,8,"12 x 2 ½,  6 x 3 ½"
726,10702207,9,"3 Rooms, 1 Bedroom, 1 Bath/powder room"
727,10702207,10,"$189,408"
728,21396280,3,Residential only
729,21396280,4,Detached
730,21396280,5,1942
731,21396280,1,"5,278 sqft"
732,21396280,13,Driveway (6)
733,21396280,7,Residential (2)
734,21396280,8,"1 x 4 ½,  1 x 5 ½"
735,21396280,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
736,21396280,10,"$16,320"
737,21396280,11,Basement 6 feet or +
738,23860869,1,"160,942 sqft"
739,23860869,2,Residential
740,22173219,1,"58,146 sqft"
741,22173219,2,Residential
742,24041338,1,"29,353 sqft"
743,24041338,2,Residential
744,18642900,5,2001
745,18642900,1,"475,548 sqft"
746,18642900,13,"Driveway (12), Garage (1)"
747,18642900,6,Wood fireplace
748,16370872,5,Unknown age
749,16370872,1,"785,525 sqft"
750,16370872,13,"Driveway (12), Garage (2)"
751,16370872,6,Wood stove
752,16370872,11,Basement 6 feet or +
753,14812565,1,"102,113 sqft"
754,14812565,2,Residential
755,28767510,1,"1,728,000 sqft"
756,28767510,2,Agricultural
757,23162436,1,"87,485 sqft"
758,23162436,2,Resort
759,22580624,3,Residential and commercial
760,22580624,4,Detached
761,22580624,5,1951
762,22580624,1,"4,983 sqft"
763,22580624,13,Driveway (3)
764,22580624,7,Residential (2)
765,22580624,8,"1 x 4 ½,  1 x 5 ½"
766,22580624,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
767,22580624,10,$2
768,9349043,1,"101,826 sqft"
769,9349043,2,Residential
770,14546527,1,"107,510 sqft"
771,14546527,2,Residential
772,24808063,1,"5,498 sqft"
773,24808063,2,Residential
774,19276542,3,Residential only
775,19276542,4,Detached
776,19276542,5,1940
777,19276542,12,"1,823 sqft"
778,19276542,1,700 sqft
779,19276542,13,Driveway (12)
780,19276542,7,Residential (6)
781,19276542,8,6 x 5 ½
782,19276542,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
783,19276542,10,"$35,760"
784,19276542,11,Adapted for reduced mobility
785,14751085,3,Commercial and office space
786,14751085,5,1984
787,14751085,14,"10,839 sqft"
788,14751085,1,"95,107 sqft"
789,14751085,7,Commercial (1)
790,25430770,3,Residential only
791,25430770,4,Detached
792,25430770,5,2011
793,25430770,1,"26,456 sqft"
794,25430770,13,Driveway (22)
795,25430770,7,Residential (8)
796,25430770,8,8 x 4 ½
797,25430770,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
798,25430770,10,"$72,120"
799,9145116,3,Residential only
800,9145116,4,Detached
801,9145116,5,1959
802,9145116,1,"4,850 sqft"
